22:08:23.715 console.table() forward-logs-shared.js:31:1
(index) id fecha batch borrado trucks socio
86 c52cd843-d97b-495d-b8b9-f6b352e8fbe6 2026-03-15 undefined true 3 Galpon
87 c70637a2-56e6-4204-85cf-b4ed84acc15d 2026-02-12 6d345af6-f7e8-45e0-bebf-959c6cf50738 true 2 Fachería
88 c945c117-65cf-4741-a798-108dc8f645a9 2026-03-16 undefined true 3 Cantimpla
89 ccda6930-7f54-47ff-9057-3b15e88191f3 2026-04-12 90db7207-e33c-4ac5-9394-0f0be412dc11 true 0 Galpon
90 cf7049eb-d8c7-49e4-aaa7-9394518e84ba 2026-04-12 90db7207-e33c-4ac5-9394-0f0be412dc11 true 0 Fachería
91 d192ff63-75bf-44a5-98ad-a3b37603772c 2026-01-14 undefined false 0 Galpon
92 d1dc6b7f-16f6-4c22-83fa-ee04f9906e18 2026-03-16 undefined true 4 Galpon
93 d2b36de1-2753-42e9-b0d3-46acf165775b 2026-03-17 undefined true 4 Galpon
94 d5c8becc-1d88-4d4f-ba2e-9a0b02b52253 2026-04-03 865466ae-d638-4dae-b48a-58ed91385a79 false 2 Galpon
95 d746e232-3f73-4b4e-bbaa-d1dcb0c13285 2026-04-12 a9034eb4-008e-42ff-a8e7-5b735c21969b true 2 Buboral
96 d8d5b2c9-e1ba-4044-b800-8a2aaff429fa 2026-01-29 undefined false 0 Galpon
97 d96d2b10-58e5-4151-8898-7e68a8354f74 2026-03-15 undefined true 3 Galpon
98 e417323a-5249-41d2-ad6d-a4b26ef8e109 2026-03-17 undefined true 4 Cantimpla
99 e5ed0f07-fdea-47cb-bacb-c4aeac255cf3 2026-03-17 undefined true 4 Carnerito
100 e5f72ce8-f473-46d3-9a9d-2e06f5ac6beb 2026-02-11 undefined false 0 Galpon
101 e8ae01e1-e563-4356-a87c-a9b2ca80f7d0 2026-04-13 9c69c271-6031-4fcf-9174-cde5fc9be659 true 2 Galpon
102 e9b14425-3901-422b-9fa1-9f7b9b067f7b 2026-04-04 88dc0df1-99eb-40ad-a1cf-e2313492a782 true 4 Buboral
103 eafb13c8-257b-4b62-9321-fa054252b811 2026-04-13 9c69c271-6031-4fcf-9174-cde5fc9be659 true 2 Galpon
104 ec091b6f-6015-4b7b-b875-9db734050a9b 2026-03-17 undefined true 4 Cantimpla
105 ee4bde5c-23e6-463f-93e3-cb4a43edfd5c 2026-03-15 undefined true 3 Galpon
106 eff1b723-d4f1-46c0-846a-7eedc61ce454 2026-02-12 6d345af6-f7e8-45e0-bebf-959c6cf50738 true 2 Galpon
107 f0c327b4-b678-457b-a826-29446724f14a 2026-03-17 undefined true 4 Galpon
108 f2482bac-1f93-4d59-981b-a3efeb25a9a0 2026-03-15 undefined true 3 Galpon
109 f250c50c-0786-4c4b-8253-409edf81c95f 2026-03-16 undefined true 4 Galpon
110 f497a6bc-f40a-4ffd-ac98-147e8a6bce9f 2026-04-17 49b7bbc4-38bd-4e6e-9c45-38b0194564a1 false 0 Galpon
111 f52bcc98-0b57-46f8-ad89-1ed5eec513db 2026-03-16 undefined true 4 Galpon
112 f8304f3f-8aa7-4a7c-b6e6-4da29e7e93fc 2026-04-17 3c8690cd-4707-488e-9e18-7447476a8dd3 false 0 Buboral
113 f9f68511-3b35-48f2-b7dc-533ac05d4480 2026-03-16 undefined true 4 Galpon
114 fad4cd80-343d-4213-94d6-f16528dd8e22 2026-02-05 undefined false 0 Galpon
